"code_muni","Cidade","Estado","Heatwaves"
"1505031","Novo Progresso","Pará",48
"4220000","Balneário Rincão","Santa Catarina",40
"3110103","Caiana","Minas Gerais",47
"3306156","Varre-Sai","Rio de Janeiro",48
"3113305","Carangola","Minas Gerais",46
"3546256","Santa Cruz da Esperança","São Paulo",69
"2912806","Ibirapuã","Bahia",54
"3123528","Durandé","Minas Gerais",50
"4318622","São José dos Ausentes","Rio Grande do Sul",47
"4305371","Charrua","Rio Grande do Sul",56
"4311122","Jaquirana","Rio Grande do Sul",46
"4315313","Quatro Irmãos","Rio Grande do Sul",56
"4100301","Agudos do Sul","Paraná",44
"4306130","Cruzaltense","Rio Grande do Sul",58
"4314134","Paulo Bento","Rio Grande do Sul",55
"4314464","Pinhal da Serra","Rio Grande do Sul",61
"4316733","Santa Cecília do Sul","Rio Grande do Sul",57
"2501609","Barra de Santa Rosa","Paraíba",42
"2403103","Currais Novos","Rio Grande do Norte",40
"2403806","Florânia","Rio Grande do Norte",43
"2405207","Janduís","Rio Grande do Norte",54
"5100607","Alto Taquari","Mato Grosso",62
"5106315","Novo Santo Antônio","Mato Grosso",59
"5108105","Tesouro","Mato Grosso",57
"3102852","Angelândia","Minas Gerais",63
"3112307","Capelinha","Minas Gerais",55
"3119203","Coroaci","Minas Gerais",59
"3119955","Córrego Fundo","Minas Gerais",64
"3123700","Engenheiro Caldas","Minas Gerais",55
"3519253","Iaras","São Paulo",52
"5107578","Rondolândia","Mato Grosso",51
"1508209","Vigia","Pará",44
"5107883","Serra Nova Dourada","Mato Grosso",57
"4300307","Alecrim","Rio Grande do Sul",45
"4316972","Santa Margarida do Sul","Rio Grande do Sul",51
"3110301","Caldas","Minas Gerais",58
"1400472","Rorainópolis","Roraima",58
"1400027","Amajari","Roraima",60
"4203105","Caibi","Santa Catarina",55
"3110400","Camacho","Minas Gerais",61
"2914505","Irará","Bahia",55
"2913309","Ichu","Bahia",53
"3105905","Barroso","Minas Gerais",60
"5203807","Britânia","Goiás",66
"2928505","Santa Terezinha","Bahia",53
"2933059","Várzea da Roça","Bahia",55
"2931707","Terra Nova","Bahia",53
"3555901","Uru","São Paulo",54
"2201150","Baixa Grande do Ribeiro","Piauí",61
"2201002","Arraial","Piauí",59
"2200806","Antônio Almeida","Piauí",59
"2200103","Agricolândia","Piauí",70
"2201200","Barras","Piauí",58
"2206753","Nossa Senhora de Nazaré","Piauí",56
"2210359","São Lourenço do Piauí","Piauí",57
"2207850","Pavussu","Piauí",58
"2200509","Amarante","Piauí",66
"2201176","Barra D'Alcântara","Piauí",53
"2200400","Altos","Piauí",63
"2208502","Porto","Piauí",52
"2200301","Alto Longá","Piauí",55
"2200459","Alvorada do Gurguéia","Piauí",60
"2201101","Avelino Lopes","Piauí",60
"2204105","Francisco Ayres","Piauí",58
"2205540","Lagoinha do Piauí","Piauí",70
"3120102","Couto de Magalhães de Minas","Minas Gerais",55
"3112059","Cantagalo","Minas Gerais",58
"3150539","Pingo-d'Água","Minas Gerais",56
"3100500","Açucena","Minas Gerais",57
"3100906","Águas Formosas","Minas Gerais",59
"2201606","Beneditinos","Piauí",63
"2201705","Bertolínia","Piauí",62
"3151404","Pitangui","Minas Gerais",66
"3102209","Alvarenga","Minas Gerais",51
"3102605","Andradas","Minas Gerais",63
"3104205","Arcos","Minas Gerais",68
"4300059","Água Santa","Rio Grande do Sul",57
"4300208","Ajuricaba","Rio Grande do Sul",53
"3116209","Chiador","Minas Gerais",52
"4300646","Ametista do Sul","Rio Grande do Sul",55
"4300661","André da Rocha","Rio Grande do Sul",55
"2500809","Araçagi","Paraíba",44
"2501500","Bananeiras","Paraíba",41
"2505238","Cuité de Mamanguape","Paraíba",43
"2402204","Canguaretama","Rio Grande do Norte",42
"2403509","Espírito Santo","Rio Grande do Norte",40
"2408300","Nova Cruz","Rio Grande do Norte",44
"2409100","Passa e Fica","Rio Grande do Norte",42
